month end, month positive, month high, month low
7/31/2019, -1, 07/05/2019, 07/29/2019
8/31/2019, -1, 08/05/2019, 08/29/2019
9/30/2019, -1, 09/18/2019, 09/26/2019
10/31/2019, +1, 10/19/2019, 10/06/2019
11/30/2019, -1, 11/10/2019, 11/24/2019
12/31/2019, -1, 12/01/2019, 12/17/2019
1/31/2020, +1, 01/28/2020, 01/02/2020
2/29/2020, -1, 02/09/2020, 02/29/2020
3/31/2020, -1, 03/06/2020, 03/12/2020
4/30/2020, +1, 04/29/2020, 04/05/2020
5/31/2020, +1, 05/07/2020, 05/11/2020
6/30/2020, -1, 06/01/2020, 06/27/2020
7/31/2020, +1, 07/08/2020, 07/01/2020
8/31/2020, -1, 08/01/2020, 08/27/2020
9/30/2020, -1, 09/01/2020, 09/23/2020
10/31/2020, -1, 10/26/2020, 10/21/2020
11/30/2020, +1, 11/24/2020, 11/03/2020
12/31/2020, +1, 12/21/2020, 12/11/2020
1/31/2021, +1, 01/31/2021, 01/01/2021
2/28/2021, +1, 02/08/2021, 02/02/2021
3/31/2021, +1, 03/08/2021, 03/05/2021
4/30/2021, +1, 04/19/2021, 04/03/2021
5/31/2021, -1, 05/07/2021, 05/30/2021
6/30/2021, -1, 06/02/2021, 06/22/2021
7/31/2021, -1, 07/04/2021, 07/20/2021
8/31/2021, +1, 08/15/2021, 08/03/2021
9/30/2021, -1, 09/05/2021, 09/28/2021
10/31/2021, +1, 10/28/2021, 10/02/2021
11/30/2021, -1, 11/08/2021, 11/26/2021
12/31/2021, -1, 12/02/2021, 12/13/2021
1/31/2022, -1, 01/15/2022, 01/22/2022
2/28/2022, -1, 02/07/2022, 02/27/2022
3/31/2022, +1, 03/27/2022, 03/13/2022
4/30/2022, -1, 04/05/2022, 04/30/2022
5/31/2022, -1, 05/04/2022, 05/26/2022
6/30/2022, -1, 06/02/2022, 06/18/2022
7/31/2022, +1, 07/07/2022, 07/12/2022
8/31/2022, -1, 08/14/2022, 08/31/2022
9/30/2022, -1, 09/10/2022, 09/21/2022
10/31/2022, +1, 10/31/2022, 10/15/2022
11/30/2022, -1, 11/01/2022, 11/21/2022
12/3/2022, -1, 12/01/2022, 12/03/2022
